NAME,QUARTER,Built up price psf
ASTRA SUITES,20161,989.0
ASTRA SUITES,20162,1011.0
ASTRA SUITES,20163,1052.0
ASTRA SUITES,20164,958.0
ASTRA SUITES,20171,1024.0
ASTRA SUITES,20173,1000.0
ASTRA SUITES,20174,1024.0
ASTRA SUITES,20181,993.0
ASTRA SUITES,20182,985.5
ASTRA SUITES,20183,986.0
ASTRA SUITES,20184,1455.0
FLAT JALAN AMAN,20161,264.0
FLAT JALAN AMAN,20162,241.0
FLAT JALAN AMAN,20163,189.0
FLAT JALAN AMAN,20164,273.0
FLAT JALAN AMAN,20173,228.0
FLAT JALAN AMAN,20174,176.0
FLAT JALAN AMAN,20184,241.0
FLAT JALAN AMAN,20191,209.0
FLAT JALAN AMAN,20192,160.0
HARBOURVIEW,20161,1104.0
HARBOURVIEW,20162,1099.0
HARBOURVIEW,20163,985.0
HARBOURVIEW,20164,1158.0
HARBOURVIEW,20172,1066.0
HARBOURVIEW,20181,1243.0
HARBOURVIEW,20182,1286.5
HARBOURVIEW,20183,1346.0
